beta, dat_amount, av_acc, av_complex
1.000000, 9.000000, 0.971781, 181.761969
1.000000, 2.000000, 0.650095, 87.278930
1.000000, 5.000000, 0.837503, 129.655756
5.000000, 2.000000, 0.649498, 73.318979
5.000000, 8.000000, 0.893280, 118.441579
5.000000, 5.000000, 0.775266, 85.939568
1.000000, 8.000000, 0.955814, 174.587966
10.000000, 3.000000, 0.694951, 76.882947
10.000000, 6.000000, 0.792575, 87.897840
10.000000, 8.000000, 0.873315, 108.326128
5.000000, 1.000000, 0.588788, 73.221776
10.000000, 7.000000, 0.839427, 93.254894
10.000000, 1.000000, 0.589103, 72.586793
1.000000, 4.000000, 0.772099, 107.784757
1.000000, 1.000000, 0.587666, 83.945892
10.000000, 4.000000, 0.745550, 79.004765
1.000000, 7.000000, 0.923386, 159.978815
5.000000, 4.000000, 0.751608, 80.737973
10.000000, 2.000000, 0.649617, 72.629587
10.000000, 9.000000, 0.893974, 119.438260
5.000000, 7.000000, 0.850053, 99.489405
5.000000, 6.000000, 0.795261, 89.503708
5.000000, 3.000000, 0.703286, 78.767414
10.000000, 5.000000, 0.772090, 84.436136
1.000000, 6.000000, 0.869645, 145.950509
1.000000, 3.000000, 0.717470, 95.676012
5.000000, 9.000000, 0.928981, 136.552584
